,state/region,ages,year,population
193,CA,total,2012,37999878.0
195,CA,total,2011,37668681.0
197,CA,total,2010,37333601.0
199,CA,total,2013,38332521.0
200,CA,total,2009,36961229.0
204,CA,total,2008,36604337.0
