,state/region,ages,year,population
864,LA,total,2012,4602134.0
867,LA,total,2011,4575197.0
869,LA,total,2010,4545392.0
870,LA,total,2013,4625470.0
871,LA,total,2009,4491648.0
876,LA,total,2008,4435586.0
