,state/region,ages,year,population
1536,NY,total,2012,19576125.0
1538,NY,total,2011,19502728.0
1541,NY,total,2010,19398228.0
1542,NY,total,2009,19307066.0
1544,NY,total,2013,19651127.0
1548,NY,total,2008,19212436.0
